Year,Month,Day,Hour,Minute,Second,Temperature,Humidity
2024,12,23,0,0,18,25.9,48
2024,12,23,0,0,43,25.9,48
2024,12,23,0,8,11,25.9,48
2024,12,23,0,8,36,25.9,48
2024,12,23,0,9,2,25.8,48
2024,12,23,0,9,27,25.8,48
2024,12,23,0,9,52,25.8,48
2024,12,23,0,10,17,25.8,48
2024,12,23,0,10,42,25.9,48
2024,12,23,0,11,7,26.0,48
2024,12,23,0,11,33,26.1,48
2024,12,23,0,11,58,26.1,48
2024,12,23,0,12,23,26.1,50
2024,12,23,0,12,48,26.1,48
2024,12,23,0,13,13,26.2,48
2024,12,23,0,13,38,26.1,48
2024,12,23,0,14,4,26.1,48
2024,12,23,0,14,29,26.0,48
2024,12,23,0,14,54,26.0,48
2024,12,23,0,15,19,26.0,48
2024,12,23,0,15,44,25.9,48
2024,12,23,0,16,9,25.9,48
2024,12,23,0,16,35,25.8,48
2024,12,23,0,17,0,25.8,48
2024,12,23,0,17,25,25.8,48
